# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
3.307968930062325619e+00,1.265575399944463086e+01,3.825838230955266095e+00,4.505124568939208984e+00,-6.792862415313720703e-01,-1.775522530078887939e-01
3.421554280174164742e+00,1.554450031580732983e+01,4.543110832956324785e+00,6.160416603088378906e+00,-1.617305755615234375e+00,-3.559908270835876465e-01
3.533514032336415589e-01,5.377278279031810548e+00,1.521793384665368976e+01,1.638770294189453125e+01,-1.169769287109375000e+00,-7.686781138181686401e-02
3.643293804745849851e+00,1.647410290270228117e+01,4.521760743325910603e+00,4.103545665740966797e+00,4.182152748107910156e-01,9.248947352170944214e-02
3.201043482910758797e+00,1.353271860647428682e+01,4.227595994468895668e+00,5.787651062011718750e+00,-1.560055255889892578e+00,-3.690171241760253906e-01
1.665293237870697052e+00,9.474588217653197475e+00,5.689441356146827111e+00,1.025402736663818359e+01,-4.564586162567138672e+00,-8.022907972335815430e-01
2.765844268581267862e+00,6.773180832775396176e+00,2.448865581376235667e+00,3.236482858657836914e+00,-7.876172065734863281e-01,-3.216253221035003662e-01
4.807984466477498664e+00,1.345589032382037331e+01,2.798655115805446680e+00,4.893466472625732422e+00,-2.094811439514160156e+00,-7.485064864158630371e-01
3.684195746989874731e+00,1.880674033065434347e+00,5.104707138870173688e-01,1.129931926727294922e+00,-6.194612383842468262e-01,-1.213509917259216309e+00
3.862666679329532116e+00,3.265076280029632017e+00,8.452907152207014274e-01,5.625580549240112305e-01,2.827326655387878418e-01,3.344797790050506592e-01
9.112018438901186013e-01,3.808530869450520218e+00,4.179678624431963030e+00,1.077029991149902344e+01,-6.590621471405029297e+00,-1.576825022697448730e+00
4.511583443175458896e+00,7.848528974199947328e+00,1.739639546304344808e+00,3.389554023742675781e+00,-1.649914503097534180e+00,-9.484232068061828613e-01
2.704829479462953046e+00,5.994355342664405839e+00,2.216167558131831417e+00,3.376499652862548828e+00,-1.160332202911376953e+00,-5.235760807991027832e-01
3.817350954584812328e+00,1.335964507222115039e+01,3.499716224984660951e+00,5.219005584716796875e+00,-1.719289302825927734e+00,-4.912653267383575439e-01
3.658173022291781873e+00,6.167893413681501791e+00,1.686058416618420264e+00,1.612590432167053223e+00,7.346796989440917969e-02,4.357380047440528870e-02
1.581702319457815864e-01,9.287514158897518968e+00,5.871847088193648290e+01,4.184569549560546875e+01,1.687277603149414062e+01,2.873503863811492920e-01
4.503881595030470031e+00,7.517110427436176856e+00,1.669029318117614125e+00,3.809796810150146484e+00,-2.140767574310302734e+00,-1.282642245292663574e+00
